,reviewerID,asin,overall
176,A1Y76ZZYI90IYK,B004DC2PM2,4.0
177,AH0510EPV6T4P,B001ADQUWS,5.0
178,A3N9TOPHBENB9I,B008FZ562E,2.0
179,A2A4L5O8BRFG1V,B008RTNSJQ,5.0
180,A3RDL363RWEXP2,B007JSL1OU,4.0
181,A1YNOLPAF4I0PJ,B003V265QW,5.0
182,A3M6TSEV71537G,B009FKNGGQ,4.0
183,A19G3E44NZUDKE,B001FB5IIC,3.0
184,A1JL7UUV6NV1PQ,B00267AETM,4.0
185,A0508779FEO1DUNOSQNX,B00008MOQN,5.0
186,AXKIWO2H5YOPA,B000N8CN4U,4.0
187,A289MTI85RQMZ9,B001SXPSD2,5.0
188,A1K92F2735WMP6,B002L6NZ6C,1.0
189,AI78BR0UXFPW1,B003ZS4WJY,5.0
191,A2UVFEZ7UDBRAA,B003EPW434,5.0
193,AH0510EPV6T4P,B002QI1E9K,5.0
194,A1X64HF17UU8TX,B000AADG8I,5.0
195,A2771A41BGQ6YZ,B0000YUXI0,3.0
196,A10Y34T44VEYSN,B004HR2PAK,4.0
197,AUYVMLI0CBMYS,B003Q3SLEK,5.0
198,A7FJ68BMMPDGD,B005KSZKTI,2.0
199,A1F3HKZOAQIS2Q,B003OH2Q80,5.0
200,A3GMRYV7VAYK5Q,B00B1DRA94,1.0
201,A3LW1UTCWTBY3C,B0067YTJ0K,4.0
202,A2WB4OWBUH2VQX,B00BB8ZHJY,5.0
203,AZRPMQ8A4H0W4,B005XOWZII,5.0
204,A2WA4TECE87995,B00COVNG7W,5.0
205,A1TE3PHV7ILN8R,B0036BI56G,4.0
206,A3A7Y3TSPPZU9T,B006WQBZ96,5.0
207,A3OSSZXMJ7FPEU,B003FITQGI,4.0
208,A10Y34T44VEYSN,B001AHAEZ8,5.0
209,A21YOSCGKP2DU4,B003ZX32ZO,5.0
210,AITPVQ9TKUIZT,B0067H6E9G,1.0
211,A36KJ6AZWB1802,B0009R14Q8,5.0
212,A10Y34T44VEYSN,B001AN0UTC,3.0
213,A1F3HKZOAQIS2Q,B005MG86TY,5.0
214,A2O4XM5YFM23TR,B0043OSKZG,5.0
215,A33JTFRM6S378Q,B005MIFI3E,5.0
216,AVA4MFJMOYEVT,B000052YM7,5.0
217,A3MERPEWB11WIE,B007TL60IE,2.0
218,A2A7KXM9B4XW90,B003VPT9WQ,5.0
219,A5VU95W1GGQDQ,B004D24818,3.0
220,A23RNMTLQM93M0,B0000YUXI0,5.0
221,AENH50GW3OKDA,B004M7L1XW,5.0
222,AITXDFJ882N6O,B008CEDY5O,3.0
223,ADS99W8WMEXZ2,B007SA3CD2,5.0
224,A3PMVIRPB2U82Y,B000UPRSKA,5.0
225,A1DH3QDZX8Z7GO,B003O5NGJK,4.0
226,A22GDD8RRV6D89,B0069FDR96,4.0
228,AUYVMLI0CBMYS,B000GHWSG6,5.0
229,AZRPMQ8A4H0W4,B005IPJXVY,3.0
230,ARBRWSZH1CP70,B006YUOHXQ,5.0
231,A2HTZ0LM1AEKU,B000E8PG98,5.0
232,AR2JAULRP75ZE,B000A35L56,5.0
233,ACJ326832VF1U,B003VMXOXO,5.0
234,A2771A41BGQ6YZ,B0012RSXNG,5.0
235,A22GDD8RRV6D89,B007BLN17K,5.0
236,A2J8SOVXJU5G1Q,B001G0SBZO,3.0
237,A1KLB7W1BDTFVW,B005J5TO0S,5.0
238,AZRPMQ8A4H0W4,B003TXZSU2,4.0
239,A21YOSCGKP2DU4,B0030HMQTS,4.0
240,A991M3ZR4LNPI,B0069FDR96,4.0
241,A1F3HKZOAQIS2Q,B000MI85FC,5.0
242,A7WBN2UA742J5,B000UPEF88,3.0
243,A1NNT24UATVJ6G,B00BVKL08E,4.0
244,A3KRO2PEBHQ5JL,B009L0YD6M,4.0
245,A17BDSCI237DG1,B006WVCF18,5.0
246,AOEUN9718KVRD,B003U4LI7W,4.0
247,A23RNMTLQM93M0,B002WDIPR8,5.0
248,A2771A41BGQ6YZ,B0000530ED,5.0
249,A1APLEGBOIHQ8E,B003PL9PLG,5.0
250,ADNXV2QQ2MAKQ,B004HJI066,5.0
251,A1KLB7W1BDTFVW,B005J5TIYK,4.0
252,A2NFPQ44U90N7W,B002K8MK0I,5.0
253,AHII73EOD5MXV,B00006IV22,3.0
255,A3OGA76E22L5CU,B0091JL3IO,4.0
256,A10Y34T44VEYSN,B007UZ3UB4,4.0
257,AAPV2OHIE05K3,B006L1DNWY,5.0
258,APG4YVSUN3T6S,B0062W4T98,5.0
259,A36RO7NCM6IUGB,B005TT8T46,5.0
260,A28TWWUAWFVCTR,B003O5NGJK,5.0
261,A26476GFC2MYSO,B001GTK8P6,5.0
262,A227JYFKLTXGRF,B000TW2JQC,5.0
264,A294FT7LRK5N9,B0031NLHXC,5.0
265,A22UF8U41B32FE,B003V265QW,4.0
266,A2771A41BGQ6YZ,B003FKSSII,5.0
267,A328S9RN3U5M68,B0009ET6BQ,5.0
268,A1M85S3L9ROA17,B003EN4T2U,1.0
269,ACJ326832VF1U,B008Y9JRQM,5.0
270,A3MQ3P2FU4NUXM,B006L1DNWY,3.0
271,A15SGYZZNJFZUR,B004DIXYWG,5.0
272,AITXDFJ882N6O,B000GRENPA,3.0
273,A35HOUWHAYZZN6,B009FKNGRA,5.0
274,A1BCP4Z6J67V5N,B001A4B3MY,5.0
275,A1BCP4Z6J67V5N,B001A4H756,5.0
276,A5VU95W1GGQDQ,B001MA0QY2,5.0
277,A4QZQPNTHDWOJ,B00AUV9GH2,3.0
278,AN4ZECQUZPPSD,B007IY97U0,5.0
280,A10Y34T44VEYSN,B000QE5GU4,5.0
281,A3G82AFYHP5ZEO,B001A43ELC,5.0
282,A2A5C9IQ06CG9N,B007RTR9G0,1.0
283,A2HYK2RG2PJUMK,B0040YRFAK,5.0
284,A3MKYLFLVAZFVE,B00A2Y3LD2,4.0
285,A3FBTJCCNQXW2U,B009FKNGRA,5.0
286,A8V9AM4WK5AFU,B005TKZS76,5.0
287,A379KCANWLK3ZJ,B009IROKBQ,4.0
288,A379KCANWLK3ZJ,B00A3BWYU0,4.0
289,A2771A41BGQ6YZ,B001MP7HYY,5.0
290,AT0AGTHV50RTT,B00243FKN8,5.0
291,A320NYVVIZSZGY,B006TURZA8,5.0
292,A21VGNU5959O85,B00B1DRA94,5.0
293,A13DH2B70CHJC4,B007ML0OY2,5.0
294,A2AF0NOCM71J0B,B00BB8ZHIU,5.0
295,A1DIRXL88BURID,B000MC5US8,5.0
296,A2NFPQ44U90N7W,B002K8UB9A,3.0
297,AKCY6EK2ZLV7A,B000I82POI,5.0
298,A3NV9TGNKHLTZH,B001AL4DBA,5.0
299,A21G1MUAP3JUDX,B00BVKL08E,4.0
300,A22UF8U41B32FE,B003S516XO,4.0
301,A36KJ6AZWB1802,B00008CMOR,5.0
302,AANHR0DB9SZ80,B003LYDBCG,4.0
303,A2W2UENRUHW1XQ,B00ATWDTIE,5.0
304,A36KJ6AZWB1802,B002RTVQNW,4.0
305,A2BTXDKAS1BWR7,B0028RC5N8,5.0
306,A379KCANWLK3ZJ,B009IRONDG,5.0
307,A10Y34T44VEYSN,B0001EL658,5.0
308,A1I95H0QLWJJY4,B004LE0YW0,2.0
309,A2V9DTXTQ5YIMK,B002MOBZSS,1.0
310,A2J8SOVXJU5G1Q,B007WR91L8,5.0
311,A3LW1UTCWTBY3C,B0012ILUC6,5.0
312,A3OSSZXMJ7FPEU,B000MXHG7A,4.0
313,A22GDD8RRV6D89,B002MZ8BK2,5.0
314,A276FG0XPT31AC,B002QHFG3Q,2.0
315,A1VWBKIEV59IY2,B003QKL5YQ,4.0
316,A3R5GTYQ50QVMD,B0040H00PE,2.0
317,A2TI5R93FF69UN,B00CJ1YFZY,5.0
318,A17BDSCI237DG1,B003SSTL42,3.0
319,A2SI2U4KNWRRQM,B002L6NZ6C,2.0
320,A3KRO2PEBHQ5JL,B000142C1A,4.0
321,AMQ1H0VZYCRJU,B000VUYHSU,3.0
322,A1VWBKIEV59IY2,B0031D1MDM,4.0
323,AZRPMQ8A4H0W4,B003XOY70Y,5.0
324,A1F3HKZOAQIS2Q,B006IBM21K,5.0
325,A1XGFW5016CGQI,B000QTFT2Y,5.0
326,A3SF0ZIQPF6GK4,B009GIOVKC,5.0
327,A2LAFL37V088EU,B00150LT40,5.0
329,A2A5C9IQ06CG9N,B0011Z3WU8,4.0
330,A24NN1DJGINMRG,B0019KK37U,1.0
331,AORFFI6CYLO4X,B0056GDG90,5.0
332,A10Y34T44VEYSN,B001BBRPSW,5.0
333,A3V25I855OKRHB,B003IL5JVI,2.0
334,AVLALLFRML1D4,B004B3Z0PW,4.0
335,A3AYSYSLHU26U9,B00DCNBST4,5.0
336,A2WA4TECE87995,B0038B9ALI,5.0
337,AAPV2OHIE05K3,B004OHQR1Q,5.0
338,A4QZQPNTHDWOJ,B004WDV2XA,1.0
339,A7FJ68BMMPDGD,B001T8W5EQ,5.0
340,A3LW1UTCWTBY3C,B005F4BH8A,3.0
341,A23RNMTLQM93M0,B001B7EXZY,3.0
342,A1P4F6HIXU6WYE,B002PBHQP4,3.0
343,A10Y34T44VEYSN,B008Q012IK,3.0
344,A3P7Z3A22AYJ0I,B003B6JDZS,5.0
345,A379KCANWLK3ZJ,B0057UOZ2C,4.0
346,A3MERPEWB11WIE,B008JWW914,2.0
347,A1H4X14Y3GUA1X,B003HG4GQI,3.0
349,A22GDD8RRV6D89,B004OHQR1Q,5.0
350,A276NTIO5U0O9F,B008U12YV4,4.0
352,A3BD3E80N5NE7U,B00174LGSI,1.0
353,AZRPMQ8A4H0W4,B009NCM6JY,5.0
354,A3OGA76E22L5CU,B004V928GA,2.0
355,A1EVV74UQYVKRY,B00DCNBST4,5.0
356,AKK9WAXK47GMB,B002BEHQWI,5.0
357,A227JYFKLTXGRF,B008JWW5K4,5.0
358,A2RX2G7QRX01ET,B002BWPXFW,1.0
359,A1H4X14Y3GUA1X,B004OT29MA,5.0
360,ACJ326832VF1U,B004SS8WWS,4.0
361,AB24ZMNCTVC99,B002OO16QC,5.0
362,AUYVMLI0CBMYS,B000H3GCXY,5.0
363,A18DRCI6HX5I3E,B00027DMSI,5.0
364,A37E6RW5BUX4U0,B00DCNBST4,5.0
365,A2QKXW3LDQ66P5,B003ABIDAA,5.0
366,AKCY6EK2ZLV7A,B003AKHQG8,5.0
367,A1VWBKIEV59IY2,B001U6FIVE,4.0
368,A3MQ3P2FU4NUXM,B005BF1M10,5.0
369,A37BP99LUP6IUN,B0051E3426,5.0
370,A3OSSZXMJ7FPEU,B0049OLZ84,5.0
371,A8V9AM4WK5AFU,B0055J812U,2.0
372,A3MKYLFLVAZFVE,B00027CDYM,4.0
373,A13QVE6RCEFJGX,B000GCQV9G,1.0
374,A2BPK5NZD9SBUZ,B000T7P0KO,3.0
376,ACJ326832VF1U,B004SSTOCK,5.0
377,A1N7FTU9V86B02,B0039UTTC8,5.0
378,A24KCJK5FMAUQD,B00CWDBMSM,5.0
379,AZRPMQ8A4H0W4,B002MZ8BK2,5.0
380,A38Z2QSVGNWWKX,B0017T29HU,5.0
382,A23RNMTLQM93M0,B003ICXD4M,4.0
383,A7FJ68BMMPDGD,B008FWTPL0,5.0
384,A3OSSZXMJ7FPEU,B0019LWU2K,3.0
385,A22GDD8RRV6D89,B008Q0E714,5.0
386,AOEUN9718KVRD,B002MO3CG6,4.0
387,A3V25I855OKRHB,B000HRVC5I,5.0
388,A7FJ68BMMPDGD,B004675GL6,2.0
389,A2RX2G7QRX01ET,B001U0OQL8,4.0
390,ACJ326832VF1U,B0055E61KY,5.0
391,AAPV2OHIE05K3,B009PZVOF6,4.0
392,A1H4X14Y3GUA1X,B004Y9M4DE,5.0
393,A36KJ6AZWB1802,B001Q878WI,4.0
394,A3KRO2PEBHQ5JL,B0002Z8HAI,5.0
395,A39JK9SMJ8W6J3,B000TXIQJU,4.0
396,A3TPO5PJMPB0F3,B00480GXTK,5.0
397,A2P3SGQRI13HM9,B0006OU078,3.0
398,A2IVZDMJR864HA,B002JPJ2ZS,5.0
399,A3MKKGOWIJ3JJA,B0060GKXOG,5.0
400,A27D0VRNOOUNRR,B002PBHQP4,4.0
401,A2FNKHX0KR5CLA,B0034RNC7E,3.0
402,A38X2R3BOQGQZQ,B004C1VIPY,4.0
403,A4SI2ZNUXBPEP,B00BM4GG9C,5.0
404,A2N3TOK3OZKDCQ,B00606RORK,5.0
405,A25WJCAP606YMP,B009FKNGRA,5.0
406,A3EPJWR9SRC4HS,B0019JAQPA,5.0
407,A1RDAKG2H8W8NN,B00C76ZGU4,5.0
408,A2FNKHX0KR5CLA,B001MP0T2Q,5.0
409,AQV8FX911BCOH,B0047ZVSSM,1.0
410,A25CGBLRJB6X0S,B00B1DRA94,4.0
411,A3EPJWR9SRC4HS,B007SIF4BC,4.0
412,A2LBTPC4RN5V62,B000MVVK7E,5.0
413,A1UQ9X1HRABCIF,B001MP471K,5.0
414,A16I6WJUEBJ1C3,B009FKNGRA,4.0
415,A1TACW47RLPY5C,B005CSBVEE,5.0
416,AOQZ84T71MF85,B003XUROHQ,5.0
417,A19OR7BSMSPDFB,B00BRGUNV2,3.0
418,AOQZ84T71MF85,B001R66FFA,4.0
420,APVSV33H1F3KX,B00B1DRA94,5.0
421,A3GQJ1ZP5C7PZA,B009IROJU8,5.0
422,A1GBZ53N4JYC5G,B005BF1M10,3.0
423,AT1QB5ANO0ARR,B0047PPCAW,1.0
424,A1WVJM12WMSQUP,B003K9KZHG,5.0
425,A20GX2R8P95U78,B000IEL5FC,5.0
426,A3NM1MT3Q2FHXV,B00AWLBAE2,3.0
427,A1B8Y5EQIAH7D1,B000141O6E,1.0
428,A10VAHD8LGD00K,B00021C1LI,5.0
429,A1GBZ53N4JYC5G,B006WHOAHO,4.0
430,A1GBZ53N4JYC5G,B008T85MU8,4.0
431,AQV8FX911BCOH,B0050OAHY0,5.0
432,A1A25TP5D0L22V,B006WQBZ96,5.0
433,AOQZ84T71MF85,B003O4BWV0,5.0
434,A37DYUKMGSM6U1,B00397XUIK,5.0
435,A66HGK43NNWAM,B003XRZQ42,5.0
436,AA47O5GS69O3A,B0037MOMIO,5.0
437,A3499AQOUV3DT0,B00126IXLO,5.0
438,A7FJ68BMMPDGD,B0002YE8WA,5.0
439,A1VPEWW3D9T9SF,B00150LT40,5.0
440,A3EPJWR9SRC4HS,B0000535RD,5.0
441,A1Q1T811N4IY3Z,B003U4LI7W,4.0
442,AQV8FX911BCOH,B0050OM5GI,2.0
443,A368PXUO85DSH,B000CQPRBE,5.0
444,A25KKXUQQ0OLWB,B00AWLBAE2,4.0
446,A2JLYOGJHC5X3T,B000CQPRBE,2.0
447,A2P3SGQRI13HM9,B001R4CLG4,5.0
448,AOQZ84T71MF85,B0046797WK,4.0
449,A1A1AVFA8LNQ6O,B005C5FP9Y,4.0
450,A3VOZJDB8473H7,B000H3EO34,2.0
451,A3S5WYWYKSAI9C,B0040H00PE,3.0
452,A3S29H9EBNDN5K,B001AN0UTC,5.0
453,AB6PFUR248B28,B00182JYZ6,3.0
454,A35X1HL2RUGJ95,B000XY9LT4,5.0
455,A2QH6LESI5RTO5,B008FZ562E,3.0
456,ARVUWRVOB5GVP,B00BNB35RA,5.0
457,A2NFPQ44U90N7W,B002K8W58K,4.0
458,A2ND91UFS5VGXU,B005W1DZG8,5.0
459,A3EPJWR9SRC4HS,B009SBIVT4,5.0
460,A2VH0UT5EQFB6P,B0040H00PE,4.0
461,A25KKXUQQ0OLWB,B0040H00PE,4.0
462,A3N6JG64P2G9EV,B00DQL2TCW,5.0
463,A2YDX7GA1AD0KB,B009T47YZ2,5.0
464,A1UFECJG0IBC89,B0039UT9QE,5.0
466,A3CK3DMVHRGK5J,B002SV5MBQ,5.0
467,AOQZ84T71MF85,B002CL2G0C,4.0
468,A1VPEWW3D9T9SF,B004OHQR1Q,5.0
469,A3IV7MOGOQIDL,B002KFR628,5.0
470,A166PXPCFH1CK,B009JJA49U,5.0
471,A7FJ68BMMPDGD,B003S516XO,5.0
472,A25KKXUQQ0OLWB,B00AWLBACE,5.0
473,A2FNKHX0KR5CLA,B004OHQR1Q,5.0
474,ADLVFFE4VBT8,B00AYARK2C,5.0
475,A2ND91UFS5VGXU,B003S516XO,5.0
476,A3GQJ1ZP5C7PZA,B005UHRKU6,5.0
477,A379KCANWLK3ZJ,B009IRON0O,5.0
478,A3EEX85GWSE0YL,B003E0KC2Y,5.0
479,AA47O5GS69O3A,B001AN0UTC,1.0
480,A3094EPI56GKZ6,B009FKNGGQ,5.0
481,A131LAUB7RPS11,B0000632EN,3.0
482,A3FBMSWBJ202SF,B00B1DRA94,5.0
483,A2S0S3Z9JHPPFK,B0015Z90NC,4.0
484,A37DYUKMGSM6U1,B001DJDP7C,5.0
485,A3IV7MOGOQIDL,B002KFOX38,5.0
486,A3MKKGOWIJ3JJA,B00A76CPUA,4.0
487,A2NFPQ44U90N7W,B002FGKPWK,5.0
488,A1I8QPILZMTELT,B007SEEAEI,3.0
489,A8GV08VRRXTFZ,B00163JVJQ,5.0
490,A3J51P9U9UGWM6,B00AUFS8I6,4.0
491,A1GBZ53N4JYC5G,B007BLN17K,2.0
492,A2AR4J5H3DSXI7,B0001TMDF0,4.0
493,A2LMSCHTDMPDCT,B006UET5UG,2.0
494,A1RDAKG2H8W8NN,B001CM1XX8,4.0
495,A297LJ18W4UHLT,B00AVP37G8,5.0
496,A2T0HOOHH2X3DN,B00112BW5I,5.0
497,A1MKS4PE04FC3Q,B00AE078TM,5.0
498,A1O2KFXOG6SEBJ,B000W0YAOA,5.0
499,A37BP99LUP6IUN,B00A51LI1O,5.0
500,A1ZNCMFIECPTVT,B007SA3CD2,5.0
501,A1I8QPILZMTELT,B000CECSAO,4.0
502,A3IV7MOGOQIDL,B004X9BSIC,4.0
503,A3IV7MOGOQIDL,B004X9BRRO,4.0
504,A3HHDSOP6XOD5A,B000X2FPXC,1.0
