"","asin","avg.rating","brand","categories","price","salesRank","title"
"27","B000052YJH",4.55,"Buf-Puf","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",23.5," ","Buf-Puf Reusable Facial Sponge (Pack of 6)"
"28","B000052YJM",4.22,"Clean &amp; Clear","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Fluids']]",5.9," ","Clean &amp; Clear ESSENTIALS Dual Action Moisturizer, 4 Ounce"
"29","B000052YJX",4.8,"Neutrogena","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",8.05," ","Neutrogena OntheSpot Acne Treatment, Vanishing Formula, 0.75 Ounce"
"30","B000052YKI",3,"Purpose","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",12.63," ","Purpose Dual Treatment Moisture Lotion with SPF 15 4 fl oz (120 ml)"
"31","B000052YKM",4.83,"Stri-Dex","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",15.24,"{'Beauty': 7048}","Stri-Dex Medicated Pads, Maximum Strength, 90-Count Containers, (Pack of 3)"
"32","B000052YKS",4.33,"Basis","[['Beauty', 'Skin Care', 'Face', 'Cleansers', 'Washes']]",6.1," ","Basis Cleaner Clean Face Wash, 6 Fluid Ounces"
"33","B000052YKY",4,"Cetaphil","[['Beauty', 'Skin Care', 'Face', 'Cleansers', 'Bars']]",6.84," ","Cetaphil Gentle Cleansing Bar, Antibacterial - 4.5 oz"
"34","B000052YL1",4.5,"Cuticura","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",0.78,"{'Beauty': 18142}","Cuticura Medicated Anti-Bacterial Bar Soap, Original Formula - 5.25 oz bar"
"35","B000052YLX",5,"Purpose","[['Beauty', 'Skin Care', 'Face', 'Cleansers', 'Bars']]",4.21," ","Purpose Gentle Cleansing Bar 6 oz (170 g)"
"36","B000052YM0",3.4,"Fruit of the Earth","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",6.03,"{'Beauty': 2114}","Fruit Of The Earth 100% Aloe Vera 6oz. Gel Tube"
"37","B000052YM3",3.5,"Alpha Hydrox","[['Beauty', 'Skin Care', 'Face', 'Treatments & Masks']]",11.24,"{'Beauty': 4413}","Alpha Hydrox AHA Enhanced Cream 2 oz."
"38","B000052YM4",3.94,"Alpha Hydrox","[['Beauty', 'Skin Care', 'Face', 'Cleansers', 'Washes']]",7.38,"{'Beauty': 1931}","Alpha Hydrox Foaming Face Wash -- 6 fl oz"
"39","B000052YM7",3.63,"Alpha Hydrox","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",9.67,"{'Beauty': 561}","Alpha Hydrox Enhanced Lotion 10 percent Glycolic AHA -- 6 fl oz Anti-Wrinkle"
"40","B000052YM8",4.5,"Alpha Hydrox","[['Beauty', 'Skin Care', 'Face', 'Treatments & Masks']]",11.67,"{'Beauty': 4183}","Alpha Hydrox Oil Free Treatment 10 Percent AHA 1.7 fl oz."
"41","B000052YMG",5,"Aquanil","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",13.99,"{'Beauty': 4891}","Aquanil Cleanser 16 fl oz."
"42","B000052YMQ",3.33,"Cetaphil","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",17.5," ","Cetaphil Moisturizing Cream, Fragrance Free - 16 oz"
"43","B000052YMR",4.6,"Cetaphil","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",18.99,"{'Beauty': 6216}","Cetaphil Moisturizing Cream, 3.0 - Ounces Tube (Pack of 3)"
"44","B000052YMS",4,"Cetaphil","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",8.99," ","Cetaphil Moisturizing Lotion, Fragrance Free - 16 fl oz"
"45","B000052YMT",5,"Cetaphil","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",27.64,"{'Beauty': 140584}","Cetaphil Gentle Skin Cleanser, 4.0 -Ounce Bottles (Pack of 6)"
"46","B000052YMX",5," ","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers']]",NA," ","Complex 15 Therapeutic Moisturizing Face Cream - 2.5 Ounce"
"47","B000052YN5",3.33,"DML","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers']]",13.25,"{'Beauty': 8992}","DML Daily Facial Moisturizer, SPF 25 - 1.5 Oz"
"48","B000052YN7",4,"DML","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",17.26,"{'Beauty': 5582}","DML Moisturizing Lotion 16 oz."
"49","B000052YOL",4.64,"Neutrogena","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers']]",11.46," ","Neutrogena Healthy Skin Anti-Wrinkle Cream, SPF 15, 1.4 Ounce"
"50","B000052YOR",4.62,"Neutrogena","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",4.5," ","Neutrogena Body Oil, Light Sesame Formula, 8.5 Ounce"
"51","B000052YOX",4.08,"Neutrogena","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",10.03," ","Neutrogena Oil-Free Moisture, Sensitive Skin, 4 Ounce"
"52","B000052YP4",5,"Neutrogena","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Night Creams']]",4.45," ","Neutrogena Light Night Cream, 2.25 Ounce"
"53","B000052YP6",4.29,"Neutrogena","[['Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions']]",2.87," ","Neutrogena Norwegian Formula Hand Cream, Fragrance-Free (2 Ounce)"
"54","B000052YQ0",4,"Olay","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",8.82," ","Olay Complete All Day Moisturizer With Sunscreen Broad Spectrum SPF 15 Normal 4 Fl Oz"
"55","B000052YQ2",4.63,"Olay","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers']]",10.7," ","Olay Complete All Day Moisturizer With Sunscreen Broad Spectrum SPF 15 - Sensitive 4 Fl Oz"
"56","B000052YQN",4.57,"Pond&#39;s","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",4.59,"{'Beauty': 14757}","POND'S Cold Cream Cleanser, 3.5 oz."
"57","B000052YQU",4.2,"Pond&#39;s","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",4.85," ","POND'S Dry Skin Cream Facial Moisturizer, 3.9-Ounce (Packaging May Vary)"
"58","B000052Z5B",4.25,"Coty","[['Beauty', 'Makeup', 'Face', 'Powder']]",9.99,"{'Beauty': 14650}","Coty Airspun Face Powder, Naturally Neutral, 2.3 oz"
"59","B000052Z8D",5," ","[['Beauty', 'Makeup', 'Face', 'Foundation']]",99.95,"{'Beauty': 193800}","Max Factor Pan-Stik Ultra Creamy Makeup, Sun Tone 137 .5 oz (14 g)"
"60","B000052ZB2",5,"Neutrogena","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",7.35," ","Neutrogena Extra Gentle Cleanser, 6.7 Ounce"
"61","B000052ZB4",4.5,"Neutrogena","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",5.7," ","Neutrogena Deep Clean Facial Cleanser, Normal to Oily Skin, 6.7 Ounce"
"62","B000052ZBH",4,"Almay","[['Beauty', 'Makeup', 'Eyes', 'Mascara']]",7.19,"{'Beauty': 71619}","Almay One Coat Nourishing Mascara, Thickening, Black 402, 0.4-Ounce Package"
"63","B000052ZBP",3.33,"Almay","[['Beauty', 'Makeup', 'Makeup Remover', 'Eyes']]",5.69,"{'Beauty': 8555}","Almay Moisturizing Eye Makeup Remover Pads, 80-Pads"
"64","B000052ZTY",4.62,"HUGO BOSS","[['Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette']]",24.19,"{'Beauty': 87667}","Hugo By Hugo Boss For Men. Eau De Toilette Spray 1.3 Ounces"
"65","B00005304H",4.67,"Q-Tips","[['Beauty', 'Tools & Accessories', 'Cotton & Swabs', 'Cotton Swabs']]",1.35,"{'Health & Personal Care': 730}","Q-tips Cotton Swabs, 500 Count"
"66","B0000530ED",3.98,"L&#39;Oreal Paris","[['Beauty', 'Hair Care', 'Hair Color', 'Chemical Hair Dyes']]",7.85,"{'Beauty': 20927}","L'Oreal Paris Feria Hair Color, 36 Dark Burgundy Brown/Chocolate Cherry"
"67","B0000530EZ",4.4,"Aussie","[['Beauty', 'Hair Care', 'Conditioners']]",14," ","Aussie Hair Insurance Leave-In Conditioner 8 Fl Oz (Pack of 3)"
"68","B0000530LO",5,"Suave","[['Beauty', 'Hair Care', 'Shampoos']]",6.85,"{'Beauty': 10144}","Suave Naturals Shampoo, Daily Clarifying - 22.5oz."
"69","B0000530LP",4,"Suave","[['Beauty', 'Hair Care', 'Shampoos']]",6.29,"{'Beauty': 19755}","Suave Shampoo, Daily Clarifying - 12oz."
"70","B0000530LV",5,"Suave","[['Beauty', 'Hair Care', 'Shampoos']]",3.71,"{'Beauty': 63163}","Suave Naturals Shampoo, Sun Ripened Strawberry 22.5oz"
"71","B0000530M0",4,"Suave","[['Beauty', 'Hair Care', 'Shampoos']]",6.96,"{'Beauty': 143847}","Suave Professionals Humectant Moisture Shampoo , 12.6 fl Ounce (373 ml)"
"72","B0000530NA",5,"Olay","[['Beauty', 'Skin Care', 'Face', 'Toners & Astringents']]",4.95,"{'Beauty': 118863}","Olay Daily Care Refreshing Toner, 7.2-Fluid Ounce"
"73","B0000530O9",2.25,"Olay","[['Beauty', 'Skin Care', 'Eyes', 'Gels']]",10.11," ","Olay Age Defying Classic Eye Gel 0.5 Oz"
"74","B0000531GD",4,"Maybelline","[['Beauty', 'Makeup', 'Face', 'Powder']]",5.67,"{'Beauty': 13132}","Maybelline New York Shine Free Oil Control Pressed Powder, Ivory - 1 ea"
"75","B0000531GV",4,"Maybelline","[['Beauty', 'Makeup', 'Makeup Remover', 'Eyes']]",4.93,"{'Beauty': 3868}","Maybelline New York Expert Eyes 100% Oil-Free Eye Makeup Remover, 2.3 Fl. Oz."
"76","B0000531II",4.67,"Maybelline","[['Beauty', 'Makeup', 'Face', 'Powder']]",4.9,"{'Beauty': 4672}","Maybelline New York Shine Free Oil Control Loose Powder, Light, 0.7 Ounce"
"77","B0000531NU",5,"Maybelline","[['Beauty', 'Makeup', 'Eyes', 'Mascara']]",6,"{'Beauty': 11302}","Maybelline New York Volum' Express - Waterproof Mascara, Very Black - .34 fl oz"
"78","B0000531SW",4.65,"L&#39;Oreal Paris","[['Beauty', 'Makeup', 'Face', 'Foundation']]",2,"{'Beauty': 66685}","L'Oreal Paris Visible Lift Line-Minimizing &amp; Tone-Enhancing Makeup, Soft Ivory, 1.25 Ounces"
"79","B0000531WZ",4.19,"Revlon","[['Beauty', 'Makeup', 'Lips', 'Lipstick']]",7.5,"{'Beauty': 269625}","Revlon Super Lustrous Creme Lipstick, Fire and Ice 720, 0.15 Ounce"
"80","B00005321Z",3,"Revlon","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",15.75,"{'Beauty': 19775}","Revlon Eterna '27' Moisture Cream with Progenitin, 2 Ounce"
"81","B0000532AN",3.5,"Revlon","[['Beauty', 'Tools & Accessories', 'Makeup Brushes & Tools', 'Eyelash Tools', 'Curlers']]",3.98,"{'Beauty': 24246}","Revlon Lash Curlers, 1 Count"
"82","B0000532VT",5,"Neutrogena","[['Beauty', 'Hair Care', 'Conditioners']]",12.99," ","Neutrogena Clean Conditioner, Replenishing , 10.1 Fluid Ounce"
"83","B0000532YN",5,"Kiss My Face","[['Beauty', 'Skin Care', 'Face', 'Oils & Serums']]",2.3," ","Kiss My Face Bar Soap, 8.0 oz, Pure Olive Oil. 1-Bar"
"84","B00005333G",4.75,"L&#39;Oreal Paris","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",5.9,"{'Beauty': 5142}","L'Oreal Paris Hydra-Renewal Continuous Moisture Cream, 1.7 Ounce"
"85","B00005333I",3.5,"L&#39;Oreal Paris","[['Beauty', 'Skin Care', 'Eyes', 'Dark Circle Treatments']]",5.3,"{'Beauty': 18260}","L'Oreal Paris Eye Defense, 0.5 Fluid Ounce"
"86","B0000533CC",3.55,"Instead","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",8.4,"{'Health & Personal Care': 2362}","Instead 12 Hour Feminine Protection Cup 24 ea"
"87","B0000534VO",5,"Clean &amp; Clear","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",6.13," ","Clean &amp; Clear Continuous Control Acne Cleanser,  5 oz  (141g)"
"88","B0000535CH",3.54,"Nature&#39;s Cure","[['Beauty', 'Skin Care', 'Sets & Kits']]",12.88,"{'Beauty': 1209}","Nature's Cure Two-part Acne Treatment System for Women 60 Tablets 1 Oz Cream"
"89","B0000535OF",3.5,"Alpha Hydrox","[['Beauty', 'Skin Care', 'Face', 'Treatments & Masks']]",9.79,"{'Beauty': 13260}","Alpha Hydrox Night Replenishing Cream 2 oz."
"90","B0000535RA",3.88,"Neutrogena","[['Beauty', 'Skin Care', 'Face', 'Toners & Astringents']]",7.69," ","Neutrogena Pore Refining Toner, Alpha and Beta Hydroxy Formula, 8.5 Ounce"
"91","B0000535RC",4.5,"Neutrogena","[['Beauty', 'Skin Care', 'Face', 'Toners & Astringents']]",8.28,"{'Beauty': 5893}","NeutrogenaClear Pore Oil Eliminating Astringent, 8 Ounce"
"92","B0000535RD",4,"Neutrogena","[['Beauty', 'Bath & Body', 'Scrubs & Body Treatments', 'Body Scrubs']]",7.99," ","Neutrogena Body Clear Body Wash for Clean, Clear Skin, 8.5 Ounce"
"93","B0000535U2",3,"Jason Natural Cosmetics","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",12.5,"{'Health & Personal Care': 8357}","Jason C-Effects Creme, 2 Ounces"
"94","B0000535UA",3,"Jason Natural","[['Beauty', 'Hair Care', 'Shampoos']]",6.83," ","Jason Shampoo, Tea Tree, 17.5 Ounce"
"95","B0000535UM",5,"Jason Natural","[['Beauty', 'Hair Care', 'Shampoos']]",5.56," ","Jason Thin-To-Thick Extra Volume Shampoo, 8 Ounce"
"96","B0000535UN",5,"Jason Natural","[['Beauty', 'Hair Care', 'Conditioners']]",10.46," ","Thin to Thick Extra Volume Conditioner 8 oz"
"97","B0000535UT",4.83,"Jason Natural Cosmetics","[['Beauty', 'Bath & Body', 'Cleansers', 'Body Washes']]",9.59,"{'Beauty': 3204}","Jason Purifying Tea Tree Body Wash 30 fl oz"
"98","B0000535VH",4.2,"Alpha Hydrox","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",8.99,"{'Beauty': 6510}","Alpha Hydrox Optimum Series, Retinol Night ResQ, Anti-Wrinkle Firming Complex - 1.05 oz"
"99","B000053676",4,"Avalon Organics","[['Beauty', 'Skin Care', 'Eyes', 'Creams']]",11.61,"{'Beauty': 31339}","Avalon Organics Vitamin C Revitalizing Eye Creme, 1 Ounce Bottle"
"100","B0000536A3",4.33,"Tommy Hilfiger","[['Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette']]",28.54,"{'Health & Personal Care': 7865}","Tommy Hilfiger Tommy Cologne Spray for Men - 3.4 Fluid Ounces"
"101","B0000536EK",4,"Mountain Ocean","[['Beauty', 'Skin Care', 'Face', 'Treatments & Masks', 'Masks']]",13.93,"{'Beauty': 1952}","Mother's Special Blend All Natural Skin Toning Oil, 8-Ounce Bottle"
"102","B0000536EW",5,"Aveeno","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",5.62," ","Aveeno Anti-Itch Concentrated Lotion, 4 Ounce"
"103","B0000536F0",5,"Aveeno","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",2.72," ","Aveeno Moisturizing Bar with Natural Colloidal Oatmeal for Dry Skin, Fragrance Free, 3.5 oz"
"104","B0000536M2",3.96,"Maybelline","[['Beauty', 'Makeup', 'Eyes', 'Mascara']]",7.27,"{'Beauty': 2544}","Maybelline New York Full 'N Soft Mascara, Very Black, 0.28 Oz."
"105","B0000536M3",3.8,"Maybelline","[['Beauty', 'Makeup', 'Eyes', 'Mascara']]",8.63,"{'Beauty': 25155}","Maybelline Full' N Soft Mascara: Brownish Black #302"
"106","B0000536P3",4.04,"Olay","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",8.45,"{'Beauty': 163}","Olay Total Effects 7-In-1 Anti-Aging Daily Moisturizer 1.7 Fl. Oz."
"107","B0000536P4",4,"Olay","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers']]",7.99,"{'Beauty': 1730}","Olay Total Effects Anti-Aging Fragrance Free Moisturizer 1.7 Fl Oz"
"108","B00005375C",3,"Aveeno","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",8.68," ","Aveeno Daily Moisturizing Lotion, 8 Ounce"
"109","B0000537SD",5,"Zapzyt","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",4.49,"{'Beauty': 24484}","ZapZyt Acne Treatment Gel, 1 oz"
"110","B000053L6W",3,"Clubman Pinaud","[['Beauty', 'Fragrance', ""Men's"", 'Cologne']]",13.29,"{'Beauty': 5653}","Clubman Pinaud Virgin Island Bay Rum, 12 Ounce"
"111","B000056I89",4.67,"Cetaphil","[['Beauty', 'Skin Care', 'Face', 'Oils & Serums']]",6.72," ","Cetaphil Daily Facial Cleanser, Normal to Oily Skin - 8 fl oz"
"112","B000056W5Y",4.17,"Palmer&#39;s","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Creams']]",5.27,"{'Beauty': 5945}","Palmer's Cocoa Butter Formula Massage Cream for Stretch Marks, 4.4 Ounce"
"113","B000056W74",4.12,"Palmer&#39;s","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Body Butter']]",3.52,"{'Beauty': 9038}","Palmer's Cocoa Butter Formula Moisturizing Body Oil with Vitamin E -- 8.5 fl oz"
"114","B00005A43X",4.17,"Conair","[['Beauty', 'Hair Care', 'Styling Tools', 'Hot-Air Brushes']]",27.79,"{'Beauty': 1845}","Conair Supreme 2-In-1 Hot Air Styling Brush"
"115","B00005A443",3,"Conair","[['Beauty', 'Tools & Accessories', 'Mirrors', 'Makeup Mirrors']]",19.97,"{'Beauty': 2123}","Conair Double-Sided Battery-Operated Lighted Makeup Mirror, Polished Chrome Finish"
"116","B00005A9WP",4.2,"Conair","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Fluids']]",27.75,"{'Beauty': 797}","Coanir Facial Sauna System with Timer"
"117","B00005AVC7",4,"Clean &amp; Clear","[['Beauty', 'Tools & Accessories', 'Makeup Brushes & Tools', 'Blotting Paper']]",2.2," ","Clean &amp; Clear Instant Oil-Absorbing Sheets 50 sheets"
"118","B00005B9FV",3.5,"Eucerin","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",10.36," ","Eucerin Q10 Anti-Wrinkle Sensitive Skin Lotion SPF, 4 Ounce"
"119","B00005CDSP",3.75,"Revlon","[['Beauty', 'Hair Care', 'Styling Tools', 'Irons', 'Curling Irons']]",15.28,"{'Beauty': 9493}","Revlon Perfect Heat 1-1/2inch Curling Iron"
"120","B00005LBRT",4,"Avalon Organics","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers']]",12,"{'Beauty': 16307}","Avalon Organics Lavender Luminosity Daily Moisturizer, 2 Ounce"
"121","B00005NAOD",4,"Eucerin","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",10.36," ","Eucerin Q10 Anti-Wrinkle Sensitive Skin Creme, 1.7 Ounce Jar"
"122","B00005NAOJ",5,"Cetaphil","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",3.79," ","Cetaphil Gentle Cleansing Bar - 4.5 oz"
"123","B00005NASR",4.8,"Ecco Bella","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",15.28,"{'Beauty': 8012}","Ecco Bella Original Organic Water-Free Herbal Body Lotion, Vanilla, 8-Ounce Bottle"
"124","B00005NFBD",3.92,"Freeman","[['Beauty', 'Skin Care', 'Face', 'Treatments & Masks', 'Masks']]",3.14,"{'Beauty': 1560}","Freeman Facial Masque, Purifying - 6 fl oz"
"125","B00005NFBJ",3.95,"Freeman","[['Beauty', 'Skin Care', 'Face', 'Treatments & Masks', 'Masks']]",6.54,"{'Beauty': 1326}","Freeman Cucumber Facial Peel-Off Mask - 6 oz"
"126","B00005O0MZ",4.32,"Conair","[['Beauty', 'Hair Care', 'Styling Tools', 'Hair Dryers']]",14.49,"{'Beauty': 135}","Conair 1875 Watt Ionic Conditioning Hair Dryer"
"127","B00005R1H2",3.4,"Skin Success","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",8.14,"{'Beauty': 5872}","Skin Success Eventone Fade Milk with Vitamin E and Alpha Hydroxy - 8.5 Fluid Ounces"
"128","B00005REAQ",4,"Alba","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Fluids']]",5.89,"{'Beauty': 4570}","Alba BotanicaTM Even Advanced Natural Moisturizer Sea Moss SPF 15 -- 2 fl oz"
"129","B00005REAT",3.93,"Alba Botanica","[['Beauty', 'Bath & Body', 'Cleansers', 'Body Washes']]",7.21,"{'Beauty': 86574}","Body Bath Honey Mango Alba Botanica 12 oz Liquid"
"130","B00005S81T",3.75,"Skin Success","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers']]",5.45,"{'Beauty': 20987}","Skin Success Eventone Fade Cream, Regular - 2.7 oz"
